assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
17934846,11503,Leontopithecus caissara,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Leontopithecus,caissara,,,,"Lorini &amp; Persson, 1990",Critically Endangered,C2a(i),3.1,Decreasing,Global
17935020,40643,Leontopithecus chrysomelas,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Leontopithecus,chrysomelas,,,,"(Kuhl, 1820)",Endangered,A3c,3.1,Decreasing,Global
17935211,11506,Leontopithecus rosalia,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Leontopithecus,rosalia,,,,"(Linnaeus, 1766)",Endangered,A3cde,3.1,Decreasing,Global
17935400,11505,Leontopithecus chrysopygus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Leontopithecus,chrysopygus,,,,"(Mikan, 1823)",Endangered,A3ce,3.1,Decreasing,Global
17936243,3575,Callithrix kuhlii,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Callithrix,kuhlii,,,,"Coimbra-Filho, 1985",Vulnerable,A4cde,3.1,Decreasing,Global
17936805,3571,Callithrix flaviceps,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Callithrix,flaviceps,,,,"(Thomas, 1903)",Critically Endangered,A2ace,3.1,Decreasing,Global
17937016,3564,Callimico goeldii,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Callimico,goeldii,,,,"(Thomas, 1904)",Vulnerable,A4c,3.1,Decreasing,Global
17940605,41538,Saimiri ustus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,ustus,,,,"I. Geoffroy, 1843",Near Threatened,A4c,3.1,Decreasing,Global
17974834,39929,Callicebus barbarabrownae,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Callicebus,barbarabrownae,,,,"Hershkovitz, 1990",Critically Endangered,C2a(i),3.1,Decreasing,Global
17975917,3416,Cacajao calvus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Cacajao,calvus,,,,"(I. Geoffroy, 1847)",Vulnerable,A4cd,3.1,Decreasing,Global
20191442,10066,Hippocampus erectus,ANIMALIA,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Hippocampus,erectus,,,,"Perry, 1810",Vulnerable,A2cd,3.1,Decreasing,Global
21215301,21215134,Bombus rubriventris,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,rubriventris,,,,"Lepeletier, 1835",Critically Endangered,D,3.1,Unknown,Global
21937379,12304,Lontra longicaudis,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,MUSTELIDAE,Lontra,longicaudis,,,,"(Olfers, 1818)",Near Threatened,,3.1,Decreasing,Global
21938411,18711,Pteronura brasiliensis,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,MUSTELIDAE,Pteronura,brasiliensis,,,,"(Gmelin, 1788)",Endangered,A3ce,3.1,Decreasing,Global
21983924,136448,Natalus espiritosantensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,NATALIDAE,Natalus,espiritosantensis,,,,"Ruschi, 1951",Near Threatened,,3.1,Unknown,Global
22038149,12264,Lonchophylla dekeyseri,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Lonchophylla,dekeyseri,,,,"Taddei, Vizotto &amp; Sazima, 1983",Endangered,C2a(i),3.1,Decreasing,Global
22038287,12263,Lonchophylla bokermanni,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Lonchophylla,bokermanni,,,,"Sazima, Vizotto &amp; Taddei , 1978",Endangered,B1ab(iii),3.1,Unknown,Global
22038521,12267,Lonchophylla mordax,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Lonchophylla,mordax,,,,"Thomas, 1903",Near Threatened,,3.1,Unknown,Global
22059426,22843,Vampyrum spectrum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PHYLLOSTOMIDAE,Vampyrum,spectrum,,,,"(Linnaeus, 1758)",Near Threatened,A2c,3.1,Decreasing,Global
22062092,14197,Myotis ruber,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,ruber,,,,"(É. Geoffroy, 1806)",Near Threatened,A4c,3.1,Unknown,Global
22154379,29621,Mazama nana,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Mazama,nana,,,,"(Hensel, 1872)",Vulnerable,A3cde,3.1,Unknown,Global
22155086,41023,Mazama bororo,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Mazama,bororo,,,,"Duarte, 1996",Vulnerable,C2a(ii),3.1,Decreasing,Global
22156866,41789,Rusa timorensis,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Rusa,timorensis,,,,"(de Blainville, 1822)",Vulnerable,C1,3.1,Decreasing,Global
22160030,15803,Ozotoceros bezoarticus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Ozotoceros,bezoarticus,,,,"(Linnaeus, 1758)",Near Threatened,,3.1,Decreasing,Global
22160916,2828,Blastocerus dichotomus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Blastocerus,dichotomus,,,,"(Illiger, 1815)",Vulnerable,A4cde,3.1,Decreasing,Global
22171555,13703,Monodelphis unistriata,ANIMALIA,CHORDATA,DIDELPHIMORPHIA,MAMMALIA,DIDELPHIDAE,Monodelphis,unistriata,,,,"(Wagner, 1842)",Critically Endangered,D,3.1,Unknown,Global
22172367,40520,Thylamys velutinus,ANIMALIA,CHORDATA,DIDELPHIMORPHIA,MAMMALIA,DIDELPHIDAE,Thylamys,velutinus,,,,"(Wagner, 1842)",Near Threatened,,3.1,Decreasing,Global
22172758,136653,Thylamys karimii,ANIMALIA,CHORDATA,DIDELPHIMORPHIA,MAMMALIA,DIDELPHIDAE,Thylamys,karimii,,,,"(Petter, 1968)",Vulnerable,A2c+3c,3.1,Decreasing,Global
22173324,21867,Thylamys macrurus,ANIMALIA,CHORDATA,DIDELPHIMORPHIA,MAMMALIA,DIDELPHIDAE,Thylamys,macrurus,,,,"(Olfers, 1818)",Near Threatened,,3.1,Decreasing,Global
22189125,136520,Cavia intermedia,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CAVIIDAE,Cavia,intermedia,,,,"Cherem, Olimpio &amp; Ximenez, 1999",Critically Endangered,D,3.1,Decreasing,Global
22196245,136567,Ctenomys lami,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CTENOMYIDAE,Ctenomys,lami,,,,"Freitas, 2001",Vulnerable,"B1ab(i,ii,iii)",3.1,Decreasing,Global
22196926,136464,Ctenomys flamarioni,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CTENOMYIDAE,Ctenomys,flamarioni,,,,"Travi, 1981",Endangered,"B2ab(i,ii,iii,v)",3.1,Decreasing,Global
22209830,6978,Phyllomys brasiliensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Phyllomys,brasiliensis,,,,"Lund, 1840",Endangered,"B2ab(i,ii,iii)",3.1,Decreasing,Global
22210553,136400,Phyllomys lundi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Phyllomys,lundi,,,,"Leite, 2003",Endangered,B1ab(iii),3.1,Decreasing,Global
22210643,6990,Phyllomys unicolor,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Phyllomys,unicolor,,,,"(Wagner, 1842)",Critically Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global
22210762,6989,Phyllomys thomasi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Phyllomys,thomasi,,,,"(Ihering, 1871)",Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
22210858,136274,Phyllomys mantiqueirensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Phyllomys,mantiqueirensis,,,,"Leite, 2003",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
22211597,136543,Trinomys moojeni,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Trinomys,moojeni,,,,"(Pessôa, Oliveira &amp; Reis, 1992)",Endangered,"B1ab(i,iii)",3.1,Decreasing,Global
22211833,136407,Trinomys eliasi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Trinomys,eliasi,,,,"(Pessôa &amp; Dos Reis, 1993)",Near Threatened,,3.1,Decreasing,Global
22212204,136414,Trinomys yonenagae,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ECHIMYIDAE,Trinomys,yonenagae,,,,"(Rocha, 1995)",Endangered,"B2ab(i,ii,iii)",3.1,Decreasing,Global
22213335,4366,Chaetomys subspinosus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,ERETHIZONTIDAE,Chaetomys,subspinosus,,,,"(Olfers, 1818)",Vulnerable,"B2ab(ii,iii,iv)",3.1,Decreasing,Global
22327572,29404,Hylaeamys laticeps,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Hylaeamys,laticeps,,,,"(Lund, 1840)",Vulnerable,"B2ab(i,ii,iii)",3.1,Decreasing,Global
22327982,15608,Hylaeamys oniscus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Hylaeamys,oniscus,,,,"(Thomas, 1904)",Near Threatened,B2ab(iii),3.1,Decreasing,Global
22330610,136563,Juliomys rimofrons,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Juliomys,rimofrons,,,,"Oliveira &amp; Bonvicino, 2002",Near Threatened,B1a+2a,3.1,Unknown,Global
22333946,136468,Microakodontomys transitorius,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microakodontomys,transitorius,,,,"Hershkovitz, 1993",Endangered,B2ab(iii),3.1,Decreasing,Global
22353755,19454,Rhagomys rufescens,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Rhagomys,rufescens,,,,"(Thomas, 1886)",Vulnerable,"B2ab(i,ii,iii)",3.1,Decreasing,Global
22368690,23077,Wilfredomys oenax,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Wilfredomys,oenax,,,,"(Thomas, 1928)",Endangered,"B2ab(ii,iii,iv)",3.1,Unknown,Global
22388900,16799,Phaenomys ferrugineus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Phaenomys,ferrugineus,,,,"(Thomas, 1894)",Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global
22390812,17831,Podoxymys roraimae,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Podoxymys,roraimae,,,,"Anthony, 1929",Vulnerable,D2,3.1,Unknown,Global
43526147,6494,Dermochelys coriacea,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,DERMOCHELYIDAE,Dermochelys,coriacea,,,,"(Vandelli, 1761)",Vulnerable,A2bd,3.1,Decreasing,Global
43793736,22102,Trichechus inunguis,ANIMALIA,CHORDATA,SIRENIA,MAMMALIA,TRICHECHIDAE,Trichechus,inunguis,,,,"(Natterer, 1883)",Vulnerable,A3cd,3.1,Decreasing,Global
44051115,41778,Tayassu pecari,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,TAYASSUIDAE,Tayassu,pecari,,,,"(Link, 1795)",Vulnerable,A2bcde+3bcde,3.1,Decreasing,Global
44846478,135993,Melanophryniscus admirabilis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Melanophryniscus,admirabilis,,,,"Di-Bernardo, Maneyro &amp; Grillo, 2006",Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
45174127,21474,Tapirus terrestris,ANIMALIA,CHORDATA,PERISSODACTYLA,MAMMALIA,TAPIRIDAE,Tapirus,terrestris,,,,"(Linnaeus, 1758)",Vulnerable,A2cde+3cde,3.1,Decreasing,Global
45191186,87491102,Sylvilagus brasiliensis,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Sylvilagus,brasiliensis,,,,"(Linnaeus, 1758)",Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global
45727621,45727618,Bokermannohyla sagarana,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Bokermannohyla,sagarana,,,,"Leite, Pezzuti &amp; Drummond, 2011",Near Threatened,,3.1,Stable,Global
46086111,46086107,Melanophryniscus peritus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Melanophryniscus,peritus,,,,"Caramaschi &amp; Cruz, 2011",Critically Endangered,B1ab(iii),3.1,Unknown,Global
46086224,46086220,Pristimantis aureoventris,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Pristimantis,aureoventris,,,,"Kok, Means &amp; Bossuyt, 2011",Endangered,B1ab(iii)+2ab(iii),3.1,Stable,Global
46207033,46205572,Drymoreomys albimaculatus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Drymoreomys,albimaculatus,,,,"Percequillo, Weksler &amp; Costa, 2011",Near Threatened,B1ab(iii)+2ab(iii),3.1,Unknown,Global
46909320,7860,Hyporthodus nigritus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Hyporthodus,nigritus,,,,"(Holbrook, 1855)",Near Threatened,,3.1,Unknown,Global
46909546,7861,Hyporthodus niveatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Hyporthodus,niveatus,,,,"(Valenciennes, 1828)",Vulnerable,A2bd+4bd,3.1,Decreasing,Global
46910927,14050,Mycteroperca microlepis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Mycteroperca,microlepis,,,,"(Goode &amp; Bean, 1879)",Vulnerable,A4bd,3.1,Decreasing,Global
46914636,44681,Epinephelus morio,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Epinephelus,morio,,,,"(Valenciennes, 1828)",Vulnerable,A2bd,3.1,Decreasing,Global
46915269,44683,Mycteroperca venenosa,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Mycteroperca,venenosa,,,,"(Linnaeus, 1758)",Near Threatened,A4bd,3.1,Decreasing,Global
46915591,64400,Hyporthodus flavolimbatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Hyporthodus,flavolimbatus,,,,"(Poey, 1865)",Vulnerable,A2bd+4bd,3.1,Decreasing,Global
46915949,64410,Mycteroperca interstitialis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Mycteroperca,interstitialis,,,,"(Poey, 1860)",Vulnerable,A4bd,3.1,Decreasing,Global
46916253,132724,Mycteroperca bonaci,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Mycteroperca,bonaci,,,,"(Poey, 1860)",Near Threatened,A4bd,3.1,Decreasing,Global
47436575,3036,Bradypus torquatus,ANIMALIA,CHORDATA,PILOSA,MAMMALIA,BRADYPODIDAE,Bradypus,torquatus,,,,"Illiger, 1811",Vulnerable,"B2ab(ii,iii)",3.1,Decreasing,Global
47440329,6288,Dasypus hybridus,ANIMALIA,CHORDATA,CINGULATA,MAMMALIA,DASYPODIDAE,Dasypus,hybridus,,,,"(Desmarest, 1804)",Near Threatened,,3.1,Decreasing,Global
47441961,14224,Myrmecophaga tridactyla,ANIMALIA,CHORDATA,PILOSA,MAMMALIA,MYRMECOPHAGIDAE,Myrmecophaga,tridactyla,,,,"Linnaeus, 1758",Vulnerable,A2c,3.1,Decreasing,Global
47442343,18144,Priodontes maximus,ANIMALIA,CHORDATA,CINGULATA,MAMMALIA,CHLAMYPHORIDAE,Priodontes,maximus,,,,"(Kerr, 1792)",Vulnerable,A2cd,3.1,Decreasing,Global
47443233,21974,Tolypeutes matacus,ANIMALIA,CHORDATA,CINGULATA,MAMMALIA,CHLAMYPHORIDAE,Tolypeutes,matacus,,,,"(Desmarest, 1804)",Near Threatened,,3.1,Decreasing,Global
47443455,21975,Tolypeutes tricinctus,ANIMALIA,CHORDATA,CINGULATA,MAMMALIA,CHLAMYPHORIDAE,Tolypeutes,tricinctus,,,,"(Linnaeus, 1758)",Vulnerable,A2cd,3.1,Decreasing,Global
48086166,48086163,Ololygon muriciensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Ololygon,muriciensis,,,,"(Cruz, Nunes &amp; Lima, 2011)",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
48086196,48086193,Ololygon skuki,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Ololygon,skuki,,,,"(Lima, Cruz &amp; Azevedo, 2011)",Endangered,B1ab(iii),3.1,Decreasing,Global
50349982,2478,Balaenoptera physalus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,physalus,,,,"(Linnaeus, 1758)",Vulnerable,A1d,3.1,Increasing,Global
50350661,2480,Balaenoptera bonaerensis,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,bonaerensis,,,,"Burmeister, 1867",Near Threatened,A2b,3.1,Unknown,Global
50358152,10831,Inia geoffrensis,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,INIIDAE,Inia,geoffrensis,,,,"(Blainville, 1817)",Endangered,A2acd+3cd+4acd,3.1,Decreasing,Global
50370481,17029,Phocoena spinipinnis,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,PHOCOENIDAE,Phocoena,spinipinnis,,,,"Burmeister, 1865",Near Threatened,A3d+4d,3.1,Unknown,Global
50653881,54012637,Leopardus tigrinus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Leopardus,tigrinus,,,,"(Schreber, 1775)",Vulnerable,A2c,3.1,Decreasing,Global
50654216,11511,Leopardus wiedii,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Leopardus,wiedii,,,,"(Schinz, 1821)",Near Threatened,,3.1,Decreasing,Global
53743316,176345,Apostolepis phillipsae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Apostolepis,phillipsae,,,,"Harvey, 1999",Vulnerable,D2,3.1,Unknown,Global
54010576,54010476,Leopardus guttulus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Leopardus,guttulus,,,,"Hensel, 1872",Vulnerable,C1,3.1,Decreasing,Global
54909767,195100,Hippocampus patagonicus,ANIMALIA,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Hippocampus,patagonicus,,,,"Piacentino &amp; Luzzatto, 2004",Vulnerable,A2cd,3.1,Decreasing,Global
56976586,56976578,Forcepsioneura garrisoni,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Forcepsioneura,garrisoni,,,,"Lencioni, 1999",Endangered,B2ab(iii),3.1,Unknown,Global
56976675,56976638,Forcepsioneura haerteli,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Forcepsioneura,haerteli,,,,"Machado, 2001",Endangered,B2ab(iii),3.1,Unknown,Global
68615392,41749,Centroscymnus owstonii,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SOMNIOSIDAE,Centroscymnus,owstonii,,,,"Garman, 1906",Vulnerable,A2d,3.1,Unknown,Global
70610705,70610693,Pithecia mittermeieri,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Pithecia,mittermeieri,,,,"Marsh, 2014",Vulnerable,A4cd,3.1,Decreasing,Global
70610723,70610711,Pithecia rylandsi,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Pithecia,rylandsi,,,,"Marsh, 2014",Vulnerable,A4cd,3.1,Decreasing,Global
70612866,136253,Sapajus flavius,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,flavius,,,,"Schreber, 1774",Endangered,"A2acd; B2ab(ii,iii); C2a(i)",3.1,Decreasing,Global
70613454,136346,Sapajus libidinosus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,libidinosus,,,,"(Spix, 1823)",Near Threatened,A2acd,3.1,Decreasing,Global
70614508,136717,Sapajus nigritus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,nigritus,,,,"Goldfuss, 1809",Near Threatened,A4cde,3.1,Decreasing,Global
